File Path,API_Group_1,API_Group_2,API_Group_3,API_Group_4,API_Group_5,API_Group_6,API_Group_7,API_Group_8,API_Group_9,API_Group_11,API_Group_12,API_Group_13,API_Group_14,API_Group_15,API_Group_16,API_Group_17,API_Group_18,API_Group_19,API_Group_20,Label
/content/drive/MyDrive/y/ransomware/A52267DC795A51404CBF2A7E8E7875929783BCC62ABD6B7CFD1921C938CF2756,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1
/content/drive/MyDrive/y/ransomware/06428D39AFD895DF8254CBFE8E2FD392E9D6B0AD33CC496ABD391A9A161DF05E,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/3C61A15CE8A583A4B243E8D05D1E4BDA053E0CFD44A97D2BB05A44F73DCE80E0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/18637C278083785D8C5CAFDCBF819407182FC554C90C75D02BD10D6A9C6FEAFF,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1
/content/drive/MyDrive/y/ransomware/958471D7F3E2500076D63AF2ED9BF8989B6776FE941731AD9F5BA86EA65F95EE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/02A943D00E5964310AC64F5D35D83F28408879A1839B573AAF7A091FA9DF8BDA,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/0CBB472B555D4CAB454948BA900675DB48B120AFAEDF246A14D87D970B233A43,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/2A3699B5AB055F7811ED19EFBEBD7E6774F27E5410303E7B82B80C72809F7793,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/04FF72EBFAB2678069C016F87DD9D5A611F197213C9CFB29FDAE83141F4B0F22,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/0322EBBC4A342C86158D0E1BCAD7A269AF49D2FE4423190982974AC4FCA6F853,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/0F55E1044A5EBFEA0EBBCB35E7ECB9CE267B6EF72C77601B8D394B30A85B1628,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/30CD6F1CA0D18D125AF409FAF1B66D3889A12E2F1B42D3270C2EE904F01FE7F0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
/content/drive/MyDrive/y/ransomware/079D1256518FC640D92CB970472E24047B9CCF4C8F1159B1EEF3570A79D4DE75,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/B6A74C64437B815016248EDC661C7BCF21B190738D936F4C6CE57333FF0E6FAD,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/02793035497AE2078A840520F11277E0837E7FA85DB2E9785A72773EB7072AA7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/2D73416B49CEEDBFDA117EB5A0D8826A3DCF8FCA8CCF4B5C1BF4CD457E2CA7F3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/60D1145C0827D5065BC0E99DA1D80B041973FC959D9C143AC06EB268E8740D10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/188FB7E8C2614BC9563873ACD9E271723EA4CB6D789D1913E601B6213ADD7541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/359305F10BBD964375C92E5704F4CE9CD726B22301065B3BB363575E3DD7866D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/C9F7CD20376F210DE6FB69826A4A263FA7400DD86B625BD1755590EFEDF785AB,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1
/content/drive/MyDrive/y/ransomware/0D0AE28324CA1244F8AE845C86B964D8795C80E6E52D989C90A7B53E510757F4,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1
/content/drive/MyDrive/y/ransomware/011F48F955B65A2FBD570B17BB40C39CA1575D52EB25FABEF0A66651BE0EA88A,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/37CA7A3B52D6CB9D9EBB9319C5F28F7B1E0EBB338BF732ACE170684EB193B10E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/50E28484E9996FAEDCC5BAB8C8AAA6EF9CFAB67BFC405D088920B01A250AAA2E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/03EBE8DC4828536FEA08858FDFC3B53237EB514FE8CF6BC7134AFB41B22F96A2,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
/content/drive/MyDrive/y/ransomware/3887AC29E0A816EFF3CE5074C1BAC08E2ED453EB2A8812C2D024ACA8F080ADD5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/01FAEC11BB20F94D65F5BFB192EDF0DF6C6121E89E13BF8EA152F334D5BCFF41,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/084DE55E2316E45B48654FDF2478205CC70B08D03B4EAD3261E2AE0B23EC6B12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/028C8C0A31C35AA828638D2FC3C392CF3C0A1AFE6220AA75AD05D82E992F37D0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
/content/drive/MyDrive/y/ransomware/34A5C5715DE3686F268D0915784B9EF72D94E8675D0BBD2DB74675E17E42C70E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/3D4E00EDB6471E50EB970730B0D37B39DD23FD32296A4523B4BB2B549E020C7A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/0E486D837003DAE49DC5830A0D69920B8AC44895667BEEFBD3EEF57EAD89F108,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
/content/drive/MyDrive/y/ransomware/8597F458F1DCC5ECDF209D9C98B1F72C2FCE2486236A3AE73ADBE26FB6F9C671,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
/content/drive/MyDrive/y/ransomware/4AF3DAAAD64069FCA13DFA44BFB3A24B0B887760484CB88D4CDB51CD2C04494B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
